"mark-twain_huck-finn" "mark-twain_innocents-abroad" "mark-twain_life-on-mississippi" "mark-twain_roughing-it" "mark-twain_sketches-new-and-old" "mark-twain_tom-sawyer" "mark-twain-and-cd-warner_gilded-age" "warner_backlog-studies" "warner_baddeck-sketches" "warner_being-a-boy" "warner_golden-house" "warner_in-the-levant" "warner_in-the-wilderness" "warner_john-smith" "warner_my-summer-in-a-garden" "warner_my-winter-on-the-nile"
"the" 4.29736934220092 6.44280197437406 6.28970513576927 6.0023545640489 5.29779097677068 5.23738286101389 5.65459244010337 6.68556760277384 7.5531648039243 7.20940932880888 5.58647178876114 9.27614584362605 8.16510657494079 6.66161786155054 6.28732218227294 8.30032221927079
"and" 5.69930980012027 4.32623206567607 4.06896173213869 4.67464205869762 4.04479069199788 4.36801400022581 3.69735384846418 3.33512125972185 3.48114495944703 4.21004198539138 3.5214927681367 3.9898084496704 3.46227585429119 3.85812857623696 3.2108801000469 3.77828080427778
"of" 1.47015266970032 3.72215544359479 3.03165434063748 3.12633782048233 2.87315406208047 2.04075872191487 2.77254609960142 3.67418872840121 3.87970679227403 2.9217231264738 3.20458377172411 5.05060485863106 3.8372617570768 4.09654437338719 3.29842113490699 4.19000542806657
"a" 2.62347756626009 2.6357382164139 2.83269988062732 3.08471673880987 2.51413693503112 2.58411425990742 2.56731136237071 2.63782996820045 2.77878424705259 3.06838442514522 2.60245667854019 2.55847437290911 3.13240103755498 1.87927745989005 2.61059871814913 2.7867924746209
"to" 2.61629733344104 2.2444438761157 2.41695366419231 2.39440136992817 2.61075627517188 2.42040194196681 2.65303440810427 2.50181985364545 2.65614983695198 2.8958417208259 2.74823481688998 2.09336137656508 2.44163753242359 3.04050263659823 2.89823354697514 2.13946666358691
"in" 1.28705673281456 1.89048873430347 1.75354344753777 1.78376064310517 1.60794922907937 1.33227955289601 1.74637241344788 2.13976475997088 1.9872348727668 2.07626387530914 2.08272592442354 2.09759609276852 2.14277658734634 2.15976663300797 1.9978114741285 2.26535161167381
"it" 2.08944775034331 1.42707347638168 1.6039845775991 1.50727774342387 1.50115943208169 1.62301004854917 1.53800909790573 1.6072181142485 1.4771872125756 1.53850578018059 1.57693916614905 1.13913865872422 1.53377692567949 0.722259620778638 1.82898233546975 1.24094841026944
"was" 1.85698771282659 1.0424285823892 1.44139076028046 1.51203443847215 1.34555144217078 1.64841368409168 1.56804344969559 0.881192291483085 1.11764541932607 1.7052970610226 2.22089824685943 0.896348263060571 1.4632908537273 1.37159205654662 0.872283883070189 0.565327358610415
"that" 0.974716605185923 1.28641211222219 1.18618021157778 1.31938828901679 1.52963671128107 1.2800609687253 1.4841975509489 1.67618098923413 1.24306697511079 1.38034163455455 1.57947443812035 1.01492031675677 1.12213826547874 1.17805452709525 1.5350945755823 0.886969175511335
"i" 2.96812874157445 1.02503772282039 1.56419368559707 1.22068686676497 1.86017655913104 1.10646945918483 1.05245374396967 1.67426535381786 0.705147858078542 0.675792258583999 0.832836842572287 0.568863543328205 1.26874929513928 0.385672613037137 2.56370173518837 0.523173224618014
